 Number of Inputs | Biggest Input   | Transaction Value | Transaction Fee | Transaction ID 
 1                | 995.742         | 995.742           | 0.0005          | 4ff076cc232fa8ee2e2173fd8527e885f8b3a2654a7e26eae4c3318f4afe662a 
 1                | 996.8415        | 996.8415          | 0.0005          | 127dbcd5505bc827a67226a7d4e28eb7d1497a7476baed6f9c63dbf239aff486 
 1                | 1000            | 1000              | 0.0005          | 7dcee621e20e8153b0986cab5cf78c691c980f7498cfe7e25f56ccf6f5aabe50 
 455              | 73              | 1000.049          | 0.049           | b0bac73245efbb89937489906a4fd60ddcf5c58dd178b993c52ec146bd03054a 
 3                | 50              | 73                | 0               | 583901dfd7a30952d873e3a6dc8adcfae50c70cfea692928c48e1f4ee14619b9 
 491              | 1.7             | 50.0091           | 0.0091          | 14c3ac090151898b3d28b13fd065c1d53a1f646a496c8ce12d72ab31622ff200 
 1                | 52.868007       | 52.868007         | 0.0001          | f52434563c89e73729869a985261e48a1bbdec5d5e8922c32196533a85b19ab1 
 1                | 52.938107       | 52.938107         | 0.0001          | 534ffad2479ea79e46369f1345bff071fef2d0b2a8aff1e28af23a7431b609d2 
 1                | 53.893207       | 53.893207         | 0.0001          | 6695a35b8480d3defdb6946b8ce8b6ea8933ec38354c7b6f614c5fe3bf6726fe 
 1                | 54.893307       | 54.893307         | 0.0001          | 2569ad9f3881a1568c8434a0cb76881b4bd2965e66725260e687751fbd8609f6 
 1                | 56.393407       | 56.393407         | 0.0001          | 639b267cbadcc0bcbd1dda07c510e6fbf1b9f9069bb5a6728a329a21549e692f 
 1                | 56.492507       | 56.492507         | 0.0001          | 2f4611a34dfd708215479ef6c47f3a997657a3bd391481eebb2b2f87193c5cce 
 1                | 57.992607       | 57.992607         | 0.0001          | 36357e73eb4c41b7d5e156b98734111321a11779689581de0948b5999a8874d3 
 1                | 58.094707       | 58.094707         | 0.0001          | f085371a012e76832f1a494f5acd83317ccb28fde392394eb7fbba983e94e5ba 
 1                | 60.974807       | 60.974807         | 0.0001          | c6b127dee557d15edb557f838f03ec0ea9a3c8d619622ebaac28aea2ccea7d5a 
 1                | 66.739907       | 66.739907         | 0.0001          | da2e379ba70edfd16acfc232d84d3e7546452ab939749ba58351ba60eb3f2028 
 1                | 70.160007       | 70.160007         | 0.0001          | a462b24a8b7f4fd307ef3d6da52fa19d65b284b1816c576bedb81b3347f8c01e 
 1                | 70.260554       | 70.260554         | 0.0001          | 57d00457a85f043e67c97de03965d7f2bb06e4754df1551c55c6f7680b6f3a77 
 1                | 80.260654       | 80.260654         | 0.0001          | c0a2d0bdf7160960e2e89c2272a98d48e2a6769a89f25eb1de5727ad546e46bc 
 1                | 80.606754       | 80.606754         | 0.0001          | 0d93c8d55e020fd42263150d8062dc180444d277b2d3e551f601c386217b8874 
 1                | 80.728854       | 80.728854         | 0.0001          | 47d4ea2ccfc0a11f3e99e4ede8e642190332dc493012be58330db0600839c025 
 1                | 80.830687       | 80.830687         | 0.0001          | 181fc9cba7ea18e325dde5eda368bd1904fe95ddb036764b3dee3f10fa054935 
 1                | 81.205037       | 81.205037         | 0.0001          | a9ea7027a74fc28a6cf4239f6a1b1c0e7614dee78cfbfe63cccd111f99cc6604 
 1                | 89.680155       | 89.680155         | 0.0001          | da935df8a306c606b33d72b45f76b8a54028321f0fd773f5f786560b8acca055 
 1                | 89.730255       | 89.730255         | 0.0001          | 5b09857a8e440e9269aa1505bcb3b1b74d65baface57443a93276a65b5248db7 
 1                | 91.435937       | 91.435937         | 0.0001          | eadb05870037cd0d4d529cf51f6aed0228e714af8f4bf1b76f93195c5e27e64b 
 1                | 91.454863       | 91.454863         | 0               | e70b67d6d9f37baaa29661d012c0d73a32406f4296aa937a26ac80e1714090fd 
 1                | 93.160856       | 93.160856         | 0.0001          | c191e1ff70bd0c00ab5a2db6ae21d4017b9a5ec8827172fc59f6abfe3d064661 
 1                | 93.805664       | 93.805664         | 0.0001          | 1db9702b534df9346d1dc71615004e3a179e667ab2d91427942ba313248cc30a 
 1                | 95.502264       | 95.502264         | 0               | 71e23218fb0490ed1b68c1fdabfa49b664ec8c167a5acad19b99b3f185d77228 
 1                | 95.855024       | 95.855024         | 0.0001          | 7a702d025532149329cfb598d13832248ff28f060e73d5c83ee3d4285c9c8cff 
 1                | 97.7384         | 97.7384           | 0.0001          | eb6178ffffd0a0a1a0f3129a004b174328152624dfcb317aa82579df99afe868 
 1                | 99.108          | 99.108            | 0.0001          | f9705cc7f010d58e316510697db6952991007bb0ef6d8bb968f48f837ebcadcb 
 1                | 100             | 100               | 0               | e2201107ca0c434ffd8f9f47b9e5d5683d13d326743f2bb24e535eb7c8578ea7 
 2                | 85              | 115               | 0               | ff36481568d85d667de140044f96ac081b9c2b9f0c92ad3724b3cdc6be58a0f3 
 6                | 50              | 85.0634           | 0.01            | 5f64f21686372b6d97c0aa2f85bba6b95061b1995b246a09ba906c2a37e8a64c 
 3                | 48.9            | 50                | 0               | bc0abc3a03c858e551c5fce8cd2c5c113e5f52358df94e90e27e4f8c678d4d08 
 1                | 49              | 49                | 0               | 595bfd3e9db628487d34b4f6ffc2c9afaf668fe327e50107176eb7c3d3ca83ee 
 1                | 65.0001         | 65.0001           | 0.0001          | adfd5ef238bcea3fde70228e6ce83db6d59abce7112cec46402f1a3986094480 
 1                | 300             | 300               | 0.0001          | 681f4164ac9afba77abc74b17bf0018cb3c58dcf832826a5b13d6dd35c6cc951 
 1                | 472.2999        | 472.2999          | 0.01            | 5e2d0960c697769f87227c2589b669bd0612c9c9889129b9b6001c1b7d7d62c8 
 1                | 473             | 473               | 0.0001          | e25d92a15e713edb8fdb1718a70ce10ead5bde349599a9d53157c2549865afaa 
 5                | 460             | 473.04488097      | 0.0001          | 64127c188fde688d8782bc86cb103b00b5b53784120c85c9ec813f8fce69160c 
 2                | 380             | 461.9999          | 0               | d4ad0954add2cb18f5fa56a49c049411a72b874657a95b9c262b1fcaa33b8fdc 
 1                | 380             | 380               | 0               | 219569ab94b9fa05163aa506e5df7fd203d92e287bb73353355a70a7903c4360 
 2                | 379.9999        | 380.05184828      | 0               | 0c9677129f8d5a4f6a2646c848b776033a7289ba0df07267c5eab5d85a265bce 
 1                | 380             | 380               | 0.0001          | 02c8312faec8ed509bba22881c7f5168adb0f0de5e660df5801719948f4cbeda 
 3                | 199.9999        | 380.05194828      | 0               | f51085b14b2742909b94191f3994494476b7b9ba96802193e992e918a92612e5 
 1                | 200             | 200               | 0.0001          | c40ee3a0f9ef89f64826a1769c1dd543965f1a664e03a35ed438847518cd787e 
 1                | 549.9994        | 549.9994          | 0.0001          | 41e1a949837d8ca83d665cf7b3628409d502664381c5612830af8fd080ad3180 
 2                | 599.9996        | 699.9995          | 0.0001          | 0f47f417b7ca8f3e302e4d94b0e5e4ac9992f583bdab0b9acc43851a206109c6 
 1                | 749.9997        | 749.9997          | 0.0001          | d09d5e4415ff443211c06dbe1222d36b877845a1366676bc2d0b4125138d6858 
 1                | 799.9998        | 799.9998          | 0.0001          | 841cf8a033a3bd67fc6374a771e7e948944fcd80510aac7acf216eed1ef1acd0 
 1                | 849.9999        | 849.9999          | 0.0001          | cf34fcc00e0d3e2400278988c51d49da3cad2b617242c509ab60148d77db7a95 
 4                | 380             | 850               | 0.0001          | 8660acfc3c4623b8ce93e3a58e6fd10148d12743685f92ba6dd68c3dd03a0a93 
 7                | 60              | 380               | 0               | acd95a10672ddb3de066070ba9263607165e942c7b885261a434e32bcfb625fe 
 1                | 160             | 160               | 0               | 09bfcc7fa177e694b9d3f95809682f1e443757895c15acaf58a275ad58520f35 
 1                | 220             | 220               | 0               | 47cd26d4460e4eb2950e901a575654e69ca4c460280beb4cbf959a0bd23a8f62 
 1                | 280             | 280               | 0               | 5f4e5ed13eef44e538390147aacfe3a83e4307bfac908c822f738452a05db1cb 
 1                | 340             | 340               | 0               | 53f0c5db2aab0034fedf4b06d1260de169a9ed6d3ef79e2b8ade45f323c1d98b 
 1                | 400             | 400               | 0               | a1b07c5a4641332896871554c692b46c236b97097e0975cd137ae50d7241c7db 
 1                | 400             | 400               | 0               | 1fed5520213a360734a2cc6c7446c241be7df7d6a03164a0276315f520d72f6a 
 1                | 1374            | 1374              | 0               | db8fb2ffc225e6a673c789f272690601b251db2f68ab913a4a6d7b6e31cc962d 
 1                | 1406            | 1406              | 0               | ba3f92c3e9fe1aba37c47e7a2f10ca55ac1498911706693c6c1cc9a18560ca55 
 1                | 1500            | 1500              | 0.0005          | 7eabcc530107b4e684560db853db8fbbbf98acbaa9e96ba9396a6327aeeb3f3c 
